x,y,z,vx,vy,vz,zv
-0.000747812485803638,0.00032706273459309,0.0104799198534067,-0.00149505939090232,0.000334828255585308,-0.0121939500282782,1
-0.000762338058543166,0.00033198407792992,0.0105964878621074,-0.00150579498437124,0.000451411726176534,-0.0121553142292065,1
-0.000779408929294938,0.000337905652855947,0.0107122580918712,-0.00168366917709239,0.000559764349560713,-0.0120874780472966,1
-0.000795356541616576,0.000341831589918688,0.01083061873191,-0.00166764976813173,0.000460254613170309,-0.0122416078220002,1
-0.000812362497393595,0.000349929803413232,0.010943223149542,-0.0017346027922695,0.000711759751270816,-0.0119002748590549,1
-0.000829663157334361,0.000359798509783265,0.0110578564386418,-0.00177767578119103,0.00091899814927331,-0.0119223428336253,1
-0.00084661783913609,0.000369451341618163,0.0111733110107593,-0.00176872640492958,0.00097513621246358,-0.0119861284247726,1
-0.000863913625636217,0.000376028705081917,0.0112878103024713,-0.00178900199795329,0.00078385518026087,-0.0119425556964663,1
-0.000881688263802933,0.00038531363777805,0.0114029979881449,-0.00182870382350364,0.000903701489071129,-0.0119747763981895,1
-0.000898899016532241,0.000393453599403211,0.011519390049953,-0.00180368631043376,0.000866345498426722,-0.0120682626826702,1
-0.000916778109651486,0.000399954346837051,0.011635687538449,-0.00184085710895901,0.000741370591317715,-0.0120937895161126,1
-0.000935175494405983,0.000404925263666825,0.0117555140327169,-0.00188903293507194,0.000593898318358413,-0.012344143901765,1
-0.000952787387774512,0.000413815695939205,0.011871313743938,-0.00185175633219985,0.000811680512264489,-0.0121541533876579,1
-0.000972785925029639,0.000425468026119654,0.0119860081441712,-0.00200233449240748,0.00107522302513117,-0.0120134547690166,1
-0.000992405629679086,0.000435876481635701,0.0121006734829289,-0.00202792642401091,0.00108027196087062,-0.0119633015176283,1
-0.00101075747552968,0.000440322628841154,0.0122181647461776,-0.00194989927451841,0.000673943139007469,-0.0121395957415119,1
-0.00103034461876519,0.000447868383560173,0.0123344834611937,-0.00200773160373396,0.00074702916715761,-0.0121196721206234,1
-0.00105218436838516,0.000456494380600469,0.012453654351462,-0.00218166830069339,0.000845961451292861,-0.0123081418235251,1
-0.00106850899977512,0.000462733405309433,0.0125733399287539,-0.00186373621929184,0.000716452615093533,-0.0124078763148255,1
-0.00108720629861757,0.000468646984795514,0.0126926262599182,-0.00191731360602827,0.000649861286970408,-0.0124146852432491,1
-0.0011068687867962,0.000476011622446852,0.0128109778158486,-0.00200169345237425,0.000726377534167847,-0.0123530227919333,1
-0.00112472616494263,0.000481618926893049,0.0129284558487496,-0.00190702506894314,0.000632292553166236,-0.0122720997619491,1
-0.00114302933533986,0.000488740214024916,0.0130467784142188,-0.00190512997933665,0.000703705958010515,-0.0123022206178512,1
-0.00116062704341817,0.000500300594124906,0.0131623917591115,-0.0018561988084325,0.00103193197486315,-0.0121270492878324,1
-0.00118001747958018,0.000513383118935833,0.0132763090809916,-0.00196213781246017,0.00124840943253549,-0.011950977373757,1
-0.00119896983993666,0.000525952598798669,0.0133892780367463,-0.00196840222471111,0.00128736870344919,-0.0118257740336446,1
-0.00121936413088119,0.000534470473959558,0.0135029001053656,-0.00206921487683316,0.00102342250211629,-0.011827625801842,1
-0.00123935019562962,0.000539905968077956,0.0136152278442847,-0.00207576650370967,0.000722162252755544,-0.011739634299001,1
-0.00125907139723179,0.000543739676803085,0.0137310646767886,-0.00205986675760591,0.000509457769308178,-0.0119497599010199,1
-0.00128244913311702,0.000550292711002028,0.0138467351069955,-0.00230464521963911,0.000622767825485721,-0.0120103175989637,1
